Student_ID,Age,Gender,Maths,Science,English,Attendance,Study_Hours,Sports,Result
1,23,Male,81,94,54,66.2,2.7,Yes,Fail
2,20,Female,89,84,46,67.3,1.8,No,Pass
3,21,Male,74,62,81,94.5,3.5,No,Fail
4,23,Male,86,75,35,97.8,3.0,Yes,Pass
5,19,Female,50,98,48,74.9,3.1,No,Pass
6,24,Male,47,61,98,70.8,,No,Pass
7,21,Male,64,97,72,85.8,1.3,No,Fail
8,21,Female,53,51,71,76.3,1.1,Yes,Pass
9,23,Male,51,67,45,61.0,7.9,No,Pass
10,18,Male,97,63,37,66.2,4.0,Yes,Pass
11,19,Male,53,47,67,88.6,3.7,Yes,Pass
12,23,Male,92,80,40,86.4,5.8,No,Pass
13,19,Female,89,69,84,61.1,2.5,Yes,Pass
14,19,Female,96,40,44,68.9,7.6,No,Pass
15,24,Female,57,81,39,69.2,6.5,No,Pass
16,21,Female,43,59,57,86.9,1.6,No,Pass
17,20,Female,46,100,44,60.8,3.9,No,Pass
18,24,Male,35,44,78,64.2,7.2,Yes,Pass
19,24,Female,92,90,36,92.0,,Yes,Pass
20,19,Male,35,64,47,67.1,4.3,No,Pass
21,22,Female,68,39,74,86.1,5.3,Yes,Pass
22,21,Female,82,67,36,69.5,2.2,Yes,Pass
23,18,Male,35,99,99,64.0,7.9,Yes,Pass
24,24,Male,50,52,97,69.7,2.6,Yes,Pass
25,20,Male,95,83,51,88.9,7.6,Yes,Pass
26,22,Male,98,45,43,94.2,5.5,Yes,Pass
27,22,Female,97,60,49,93.2,5.3,No,Pass
28,18,Female,56,97,58,75.9,4.6,No,Pass
29,24,Male,60,93,72,86.7,2.6,No,Pass
30,20,Male,50,61,69,68.2,2.2,Yes,Pass
31,21,Male,85,83,83,71.7,2.5,Yes,Pass
32,17,Male,91,67,96,95.9,2.3,Yes,Pass
33,20,Male,63,35,94,60.5,6.5,No,Pass
34,18,Male,81,55,84,63.4,3.5,No,Fail
35,22,Female,96,89,43,68.3,1.4,Yes,Pass
36,21,Male,50,40,68,61.1,7.8,No,Pass
37,20,Male,82,39,69,67.3,7.2,Yes,Pass
38,17,Female,73,37,35,83.3,7.5,No,Pass
39,17,Male,67,87,74,76.9,8.0,No,Pass
40,19,Female,57,57,98,95.7,2.2,No,Pass
41,19,Female,44,87,56,92.7,3.8,No,Pass
42,23,Male,68,71,94,73.7,6.3,No,Pass
43,18,Male,86,51,98,70.4,5.9,Yes,Pass
44,24,Male,44,35,45,75.2,2.1,No,Pass
45,20,Male,53,85,48,83.6,6.7,Yes,Pass
46,20,Male,92,79,94,70.7,2.6,No,Pass
47,24,Female,35,38,64,85.0,2.6,No,Fail
48,23,Male,38,96,69,76.4,4.8,No,Pass
49,22,Male,50,99,71,82.1,5.2,No,Pass
50,22,Male,58,66,39,77.4,5.1,No,Pass
51,23,Female,36,68,60,71.8,,No,Pass
52,22,Male,66,73,96,97.9,7.1,No,Fail
53,19,Male,58,60,38,90.5,2.9,Yes,Pass
54,20,Male,46,68,76,65.6,1.9,Yes,Fail
55,23,Female,84,88,52,94.7,7.2,Yes,Pass
56,20,Male,69,37,74,79.5,7.7,Yes,Fail
57,24,Female,67,84,73,95.8,7.0,No,Pass
58,17,Female,67,46,48,92.0,6.7,Yes,Pass
59,19,Male,95,99,66,77.0,5.6,No,Pass
60,21,Female,85,88,85,60.9,4.9,Yes,Pass
61,19,Male,77,39,72,70.7,1.6,Yes,Pass
62,23,Female,46,91,57,81.7,3.9,No,Pass
63,21,Female,99,51,97,85.3,3.6,No,Pass
64,17,Male,67,81,49,70.3,2.8,No,Pass
65,23,Male,74,57,59,65.6,6.1,No,Pass
66,18,Female,77,48,51,93.4,4.5,No,Pass
67,20,Male,78,100,100,99.4,1.6,Yes,Pass
68,17,Male,63,85,87,81.0,2.5,No,Pass
69,20,Male,47,72,85,66.9,5.8,No,Pass
70,22,Female,46,98,73,70.9,1.5,No,Pass
71,18,Female,80,72,85,60.7,7.0,Yes,Pass
72,18,Male,36,84,40,96.6,4.5,No,Pass
73,17,Male,69,64,41,64.7,4.4,Yes,Pass
74,18,Male,42,85,85,83.1,5.1,Yes,Pass
75,21,Female,60,97,76,71.0,6.8,Yes,Pass
76,18,Male,68,86,98,82.2,3.4,No,Pass
77,20,Female,41,72,49,86.1,5.7,No,Pass
78,20,Male,92,64,63,93.2,5.0,No,Pass
79,23,Female,63,85,67,68.3,2.9,No,Fail
80,20,Male,70,39,61,60.4,7.2,No,Pass
81,23,Male,55,63,70,65.5,6.6,Yes,Pass
82,20,Male,70,38,63,96.0,5.6,Yes,Pass
83,21,Female,44,44,72,95.0,7.0,No,Pass
84,24,Female,58,90,91,83.9,7.1,Yes,Pass
85,23,Male,98,51,61,84.0,6.0,No,Fail
86,19,Female,83,51,89,86.6,6.9,No,Pass
87,22,Female,70,68,67,67.0,5.9,No,Pass
88,17,Female,58,40,100,96.6,5.8,No,Fail
89,20,Male,57,87,44,76.8,5.3,No,Pass
90,18,Male,96,100,39,75.3,6.3,No,Pass
91,24,Male,71,77,72,80.8,2.1,No,Pass
92,20,Female,46,57,47,61.9,7.2,No,Pass
93,18,Female,89,89,65,66.7,7.1,Yes,Pass
